backers_count,id,pledged,static_usd_rate,s_category,g_category,staff_pick,state,country,month_launched,currency,usd_pledged,length_days,name_length,blurb_length,goal_$,funded_percentage,converted_pledged_amount
382,1384457674,7941,0.91697775,51,16,0,1,3,5,1,0.001149752,0.303370787,0.602409639,0.683937824,0.000004578,0.000553608,0.00115706
5,1015822703,87,1,361,13,0,0,21,5,13,0.000013737,0.325842697,0.13253012,0.25388601,0.000016993,0.000001784,0.000013737
2,2079764660,386,0.14326892,356,26,0,0,6,12,3,0.000008732,0.359550562,0.373493976,0.331606218,0.000007156,0.000002691,0.000008526
15,861943145,526,1,29,11,0,0,21,11,13,0.000083053,0.370786517,0.084337349,0.21761658,0.000599993,0.000000306,0.000083053
27,1152487222,1535,1,24,1,0,1,21,8,13,0.00024237,0.258426966,0.072289157,0.652849741,0.000014993,0.000035671,0.00024237
33,1823070794,612,1,278,15,0,1,21,9,13,0.000096632,0.438202247,0.385542169,0.523316062,0.000005993,0.000035555,0.000096632
0,1705766229,0,0.72687255,23,1,0,0,1,5,0,0,0.426966292,0.228915663,0.569948187,0.00087224,0,0
438,2087506360,52594.5,1,29,11,0,1,21,8,13,0.008304444,0.382022472,0.325301205,0.621761658,0.000499993,0.000036666,0.008304366
1,1837037370,25,1,24,1,0,0,21,9,13,0.000003947,0.280898876,0.698795181,0.616580311,0.000039993,0.000000218,0.000003947
173,1157068085,17125,1,348,26,0,1,21,5,13,0.002703963,0.325842697,0.409638554,0.668393782,0.000099993,0.000059694,0.002703964
20,1846156974,1585,1,24,1,0,1,21,1,13,0.000250265,0.550561798,0.361445783,0.689119171,0.000014993,0.000036833,0.000250265
43,1031543668,1046,1,29,11,1,0,21,1,13,0.000165159,0.539325843,0.361445783,0.611398964,0.000029993,0.000012154,0.000165159
9,38657110,392,1,23,1,0,1,21,1,13,0.000061895,0.325842697,0.253012048,0.321243523,0.000002993,0.000045547,0.000061895
29,537004100,2611,1,32,11,0,1,21,8,13,0.000412266,0.325842697,0.578313253,0.383419689,0.000014993,0.000060675,0.000412266
0,818858001,0,1,281,17,0,0,21,7,13,0,0.325842697,0.337349398,0.207253886,0.000029993,0,0
34,1393799455,2855,1,23,1,0,1,21,6,13,0.000450792,0.325842697,0.313253012,0.678756477,0.000024993,0.000039807,0.000450792
187,393516150,25129,1.28399373,301,11,1,1,9,11,5,0.005094579,0.325842697,0.506024096,0.404145078,0.000320991,0.000035037,0.005009083
0,508251353,0,1,23,1,0,0,21,8,13,0,0.325842697,0.506024096,0.487046632,0.000000993,0,0
98,591716057,12064.52,1,338,16,1,1,21,10,13,0.001904936,0.325842697,0.373493976,0.404145078,0.000049993,0.000084108,0.001904854
4,1233652592,207,1.15485043,356,26,0,0,12,10,4,0.000037746,0.662921348,0.542168675,0.626943005,0.001732268,0.000000048,0.000036948
0,2140218313,0,1,21,1,0,0,21,11,13,0,0.314606742,0.421686747,0.611398964,0.000224993,0,0
