featured_project,project_video,state,category,status_labels,funding_currency.1,avg_backers_per_pledge_tier,avg_pledge_amount_per_backer,description_length,full_desc_len,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_pledge_backers,num_pledge_tiers,num_updates,project_img,duration
0,0,125,146,0,4,0.000617816,9.87E-05,0.955223881,0.11418892,8.49E-05,2.23E-05,4.30E-06,4.50E-05,0,0,0,0.000519211,0.107692308,0,0.007692308,0.661016949
1,1,44,56,1,0,0.22112069,0.000465154,0.888059701,0.229613392,0.0009999,0.002718704,0.006305186,0.017821181,0.000990622,0,0.074074074,0.26635514,0.153846154,0.061728395,0.330769231,0.491525424
0,1,92,119,1,0,0.016278736,0.002130838,0.432835821,0.160741331,0.007999901,0.000382662,0.007099647,0.004410292,6.60E-05,0,0,0.058843891,0.461538462,0.037037037,0.153846154,0.491525424
0,1,75,104,0,2,0,0.000192126,0.701492537,0.099402152,0.0024999,3.03E-07,1.58E-06,0,0,0,0,0,0.076923077,0,0,0.745762712
0,1,128,119,0,0,0.001178161,0.000701002,0.880597015,0.293264249,0.0024999,2.26E-05,0.000131312,0.000236266,0,0,0,0.002422984,0.261538462,0,0.123076923,0.745762712
0,1,99,130,1,0,0.015028736,0.000888559,0.880597015,0.215464328,0.0012999,0.000396145,0.001194283,0.001766367,3.30E-05,0,0,0.023537556,0.2,0.024691358,0.015384615,0.491525424
1,2,92,10,1,0,0.030287356,0.000747424,0.985074627,0.222957354,0.0019999,0.000403454,0.001871222,0.003296468,0.000132083,0,0,0.043786777,0.184615385,0.024691358,0.107692308,0.491525424
0,0,75,119,0,2,0.001436782,0.002656849,0.955223881,0.073893982,0.049999905,5.68E-07,6.75E-05,2.25E-05,0,0,0,0.00017307,0.015384615,0,0.007692308,0.491525424
0,0,92,132,0,0,0.004310345,0.000194723,0.835820896,0.954962136,0.0007499,1.94E-05,3.37E-05,0.000213764,3.30E-05,0,0.037037037,0.002596054,0.076923077,0.049382716,0.007692308,1
0,0,112,106,0,0,0,5.19E-06,0.985074627,0.176843364,0.0019999,3.80E-08,0,0,0,0,0,0,0.153846154,0,0.007692308,1
0,1,51,148,0,6,0.004971264,0.000405854,0.171641791,0.199521722,0.008999901,7.99E-06,0.000166797,0.000528785,0,0,0,0.007788162,0.2,0,0.223076923,0.830508475
0,1,125,22,1,4,0.004482759,0.001380402,0.552238806,0.180470307,0.0004999,0.000384026,0.000445232,0.000416278,0,0,0,0.004326757,0.123076923,0.049382716,0.015384615,0.491525424
0,2,13,132,0,0,0.079195402,0.000912445,0.992537313,0.38409725,0.005999901,0.00025098,0.003492292,0.005051585,0.005877691,0.142857143,0,0.076323988,0.123076923,0.024691358,0.261538462,0.237288136
0,2,108,133,0,0,0.011968391,0.000614701,0.955223881,0.13443603,0.013999901,8.22E-06,0.00026728,0.000562537,6.60E-05,0,0.222222222,0.008653513,0.092307692,0,0.123076923,0.491525424
0,0,18,10,1,0,0.00625,0.000399519,0.268656716,0.029453966,3.49E-05,0.003752619,0.000304522,0.000990066,0,0,0,0.015057113,0.307692308,0.024691358,0.115384615,0.186440678
0,1,45,132,1,0,0.01420977,0.0020112,0.753731343,0.117058589,0.0017499,0.000394971,0.001602976,0.001046319,9.91E-05,0,0,0.015403254,0.138461538,0.037037037,0.061538462,0.491525424
0,1,75,121,0,0,0.001537356,0.000748047,0.455223881,0.158270227,0.0011999,4.35E-05,0.000120948,0.000202513,0,0,0,0.002769124,0.230769231,0,0.061538462,0.322033898
0,0,125,37,0,4,0,5.19E-06,0.97761194,0.027222001,0.0004999,7.60E-08,0,0,0,0,0,0,0.123076923,0,0.007692308,0.745762712
0,2,54,132,1,0,0.024525862,0.001420282,0.776119403,0.165324831,0.0009999,0.00135155,0.003134455,0.002913943,0.00670321,0,0.111111111,0.044305988,0.230769231,0.135802469,0.361538462,0.661016949
0,0,125,112,0,4,0,5.19E-06,0.71641791,0.026504583,0.0019999,3.80E-08,0,0,0,0,0,0,0.015384615,0,0.007692308,0.610169492
0,0,75,143,0,2,0.000287356,0.018457636,0.932835821,0.063770426,0.084999908,3.98E-06,0.000780671,4.50E-05,0,0,0,0.000346141,0.153846154,0.024691358,0.007692308,1
0,0,35,7,0,6,0.000718391,0.000386018,0.268656716,0,0.0019998,4.28E-06,1.98E-05,5.63E-05,0,0,0,0.000346141,0.061538462,0,0.007692308,0.491525424
0,1,13,64,0,0,0.00191092,0.003183067,0.455223881,0.020844958,0.019999902,2.92E-06,0.000134738,4.50E-05,0,0,0,0.000692281,0.046153846,0,0.076923077,0.491525424
0,0,33,10,1,0,0.006135057,0.00037906,0.380597015,0.077879633,7.99E-05,0.001138518,0.000211154,0.000720048,0.000231145,0,0,0.011076497,0.230769231,0.209876543,0.084615385,0.491525424
0,1,13,112,1,0,0.016724138,0.000622386,0.619402985,0.173216421,0.0006999,0.000431593,0.000700566,0.001473848,3.30E-05,0,0,0.022152994,0.169230769,0.037037037,0.076923077,0.355932203
