State,Currency,Top_Category,Category,Creator,Location,Updates,Comments,Rewards,Goal,Pledged,Backers,Start,End,Duration_in_Days,Facebook_Connected,Facebook_Friends,Facebook_Shares,Has_Video,Creator_Projects_Created,Creator_Projects_Backed,#_Videos,#_Images,#_Words_(Description),#_Words_(RisksandChallenges),#_FAQs
1,5,0,118,Mudmonkey Simon Boses,Seminole,9,10,8,2000,12014,137,28-04-14,28-05-14,30,1,437,270,1,1,21,0,12,793,74,0
0,5,0,10,James Beattie,Danielson,1,3,7,2000,155,4,28-04-14,28-05-14,30,1,96,7,0,1,5.172066391,0,2,165,72,0
1,2,4,104,Derk Reilink,Utrecht,12,81,11,9500,10535,584,28-04-14,31-05-14,32,1,111,257,1,1,1,0,17,742,124,0
0,5,12,106,"Al  Kinney, Author and Historian",Hardin,0,0,20,10000,5,1,28-04-14,28-05-14,30,0,0,0,0,2,5.172066391,0,0,1296,250,0
1,3,8,126,Koen Hendrix,Liverpool,7,106,5,250,3781,573,28-04-14,12-05-14,14,1,152,119,1,1,24,0,10,559,139,0
0,5,12,19,Taneeka Bourgeois-daSilva,Los Angeles,4,0,11,10000,450,11,28-04-14,28-05-14,30,1,533,27,1,2,5.172066391,0,11,1116,66,0
1,5,1,139,S-Morishita,Altoona,6,38,10,3122,4272,174,28-04-14,26-05-14,27,1,66,113,1,2,0,0,11,493,186,0
0,0,13,127,Timothy Weston,North Sydney,0,1,8,10000,136,7,28-04-14,28-05-14,30,1,1467,12,1,1,5.172066391,0,2,350,143,0
0,2,13,127,Studio diip,Leerdam,3,15,8,40000,5282,92,28-04-14,28-05-14,30,1,226,2634,0,1,3,1,17,1164,107,2
0,2,13,63,Dimenco,Eindhoven,8,31,8,199000,101207,144,28-04-14,12-06-14,45,0,0,626,1,1,5.172066391,0,13,1422,316,3
1,2,5,49,Leon de Haan,Amsterdam,11,1,9,20000,27492,87,28-04-14,28-05-14,30,0,0,162,1,1,5.172066391,0,20,687,84,6
0,2,13,8,Ali Sevinen,The Hague,2,0,19,40000,87,5,28-04-14,12-06-14,45,1,482,38,1,1,5.172066391,0,3,185,93,0
0,2,13,127,MobyFace,The Hague,1,4,11,50000,5025,28,28-04-14,03-06-14,35,0,0,133,1,1,5.172066391,0,27,1115,119,0
0,3,11,98,Alan Falconer,Glasgow,0,0,14,3000,70,1,28-04-14,28-05-14,30,0,0,0,1,2,0,0,0,273,74,0
0,5,7,29,M and D,Tallahassee,2,0,15,8000,2380,24,28-04-14,15-05-14,16,1,1093,234,1,1,9,0,0,245,65,0
1,5,10,23,Shannon Canavin,Boston,1,4,11,2500,3405,48,28-04-14,10-05-14,12,1,494,212,1,1,12,0,0,535,100,0
0,5,8,126,Jayson Music,Miami,1,0,7,12000,76,3,28-04-14,28-05-14,30,1,284,0,0,3,1,0,2,417,118,0
0,5,4,104,SLUICE_BOX,Los Angeles,0,0,12,5000,527,4,28-04-14,28-05-14,30,0,0,0,0,1,5.172066391,1,26,1209,159,0
0,5,6,120,Chernoh Sesay,Newark,1,2,8,6500,1855,44,28-04-14,28-05-14,30,0,0,142,1,1,5.172066391,0,0,159,165,0
1,5,5,7,Michael Kung,Los Angeles,2,0,12,5000,6963,81,28-04-14,26-05-14,27,1,1328,249,1,1,5.172066391,0,29,1061,283,4
1,5,5,49,Gavin Haengel,Tampa,8,57,13,15000,34667,292,28-04-14,28-05-14,30,1,570,103,1,3,2,0,21,256,70,1
1,5,10,40,Jorden Wray Goodspeed,Eureka,0,0,2,275,290,9,28-04-14,28-05-14,30,1,660,60,0,1,1,0,0,164,96,0
0,5,10,115,Clever Measures,Raleigh,1,0,7,1500,165,5,28-04-14,22-05-14,23,1,815,30,1,1,5.172066391,0,0,94,247,0
1,5,5,7,Woolpack,New York,3,8,7,15000,18068,233,28-04-14,02-06-14,35,1,120,193,1,1,11,0,10,587,130,6
0,4,0,10,pyro International,Auckland Central,0,3,7,200000,181,6,29-04-14,29-05-14,30,1,246,90,1,1,5.172066391,0,0,291,52,0
1,5,6,120,Patrick Roehrman,Joplin,5,4,15,10000,15415,494,29-04-14,20-05-14,21,1,351,1676,1,1,5,0,0,515,54,1
0,5,13,63,REN-innovations,Dallas,4,20,13,35000,6230,182,29-04-14,29-05-14,30,0,0,228,1,1,1,0,13,3018,499,12
0,5,6,24,Tae Daaz,Hollywood,6,1,7,3000,350,11,29-04-14,02-06-14,34,1,2603,173,1,1,5.172066391,0,0,166,55,0
0,5,2,32,Carmen Limon,Yuma,0,0,10,600,89,4,29-04-14,03-06-14,35,1,42,7,1,1,1,0,7,301,103,0
0,2,13,122,Richard Klomp,Amsterdam,1,0,7,5000,359,14,29-04-14,29-05-14,30,1,417,56,1,1,4,0,5,476,594,0
1,5,10,68,Zookeeper,Chicago,1,0,11,5800,7339,105,29-04-14,17-05-14,18,1,832,150,1,1,3,0,0,274,124,0
0,5,10,76,Bobby Ramirez,Miami,0,0,8,1500,131,8,29-04-14,08-05-14,8,1,196,98,1,1,5.172066391,0,0,582,65,0
0,5,10,83,BeckRidge Productions,Canton,0,0,8,8500,877,13,29-04-14,31-05-14,32,0,0,87,1,1,5.172066391,0,0,402,128,0
1,5,0,105,The Bradford Historical Society,Bradford,0,0,5,3200,3390,32,29-04-14,30-05-14,31,0,0,22,0,1,1,0,11,1443,428,0
1,5,6,120,Drey Singer,Los Angeles,0,0,7,4500,4560,27,29-04-14,10-05-14,11,1,410,133,1,3,3,0,5,681,96,0
0,5,12,11,Andi Harmon,Bend,0,0,4,7500,255,4,29-04-14,29-05-14,30,1,2948,216,0,1,5.172066391,0,0,312,70,0
1,3,6,86,Jarno Vinsencius,Malmö,1,0,12,5500,5700,76,29-04-14,29-05-14,30,1,632,733,1,1,1,1,9,816,131,0
1,5,8,126,Stephen Chenault,Little Rock,19,1681,11,15000,83573,685,29-04-14,03-06-14,35,1,1282,1512,1,6,7,1,15,2390,139,3
